"part","term","statistic","Onset, base","Onset, eye size","Onset, cavity","Onset, migration","Onset, range size","Onset, habitat","Onset, latitude","Onset, species richness","Cessation, base","Cessation, eye size","Cessation, cavity","Cessation, migration","Cessation, range size","Cessation, habitat","Cessation, latitude","Cessation, species richness"
"estimates","SD (alan_sc sp_cell5_weekfamily)","estimate","0.457","0.457","0.457","0.457","0.457","0.457","","0.425","0.385","0.385","0.385","0.384","0.386","0.384","","0.348"
"estimates","Cor (Intercept~alan_sc sp_cell5_weekfamily)","estimate","-0.018","-0.020","-0.022","-0.019","-0.019","-0.019","","-0.014","-0.017","-0.020","-0.020","-0.022","-0.025","-0.019","","-0.009"
"estimates","SD (sr sp_cell5_weekfamily)","estimate","","","","","","","","0.375","","","","","","","","0.357"
"estimates","SD (alan_sc × sr)","estimate","","","","","","","","0.252","","","","","","","","0.197"
"estimates","Cor (Intercept~sr sp_cell5_weekfamily)","estimate","","","","","","","","0.112","","","","","","","","0.097"
"estimates","Cor (Intercept~alan_sc × sr)","estimate","","","","","","","","0.087","","","","","","","","0.037"
"estimates","Cor (alan_sc~sr sp_cell5_weekfamily)","estimate","","","","","","","","0.080","","","","","","","","0.090"
"estimates","Cor (alan_sc~alan_sc × sr)","estimate","","","","","","","","-0.089","","","","","","","","0.094"
"estimates","Cor (sr~alan_sc × sr)","estimate","","","","","","","","-0.116","","","","","","","","-0.181"
"estimates","SD (Intercept sp_weekfamily)","estimate","","","","","","","0.778","","","","","","","","1.155",""
"estimates","SD (alan_sc sp_weekfamily)","estimate","","","","","","","0.227","","","","","","","","0.164",""
"estimates","SD (lat_sc sp_weekfamily)","estimate","","","","","","","0.405","","","","","","","","0.533",""
"estimates","SD (alan_sc × lat_sc)","estimate","","","","","","","0.184","","","","","","","","0.194",""
"estimates","Cor (Intercept~alan_sc sp_weekfamily)","estimate","","","","","","","-0.070","","","","","","","","0.207",""
"estimates","Cor (Intercept~lat_sc sp_weekfamily)","estimate","","","","","","","0.390","","","","","","","","0.242",""
"estimates","Cor (Intercept~alan_sc × lat_sc)","estimate","","","","","","","0.153","","","","","","","","0.112",""
"estimates","Cor (alan_sc~lat_sc sp_weekfamily)","estimate","","","","","","","0.014","","","","","","","","0.161",""
"estimates","Cor (alan_sc~alan_sc × lat_sc)","estimate","","","","","","","-0.023","","","","","","","","0.519",""
"estimates","Cor (lat_sc~alan_sc × lat_sc)","estimate","","","","","","","-0.106","","","","","","","","-0.120",""
"gof","Num.Obs.","","2640731","2640731","2640731","2640731","2640731","2640731","2640731","2640731","1845394","1845394","1845394","1845394","1845394","1845394","1845394","1845394"
"gof","R2 Marg.","","0.000","0.007","0.015","0.002","0.001","0.000","0.003","0.008","0.001","0.010","0.034","0.002","0.005","0.001","0.001","0.004"
"gof","R2 Cond.","","0.443","0.425","0.444","0.441","0.443","0.443","0.370","0.480","0.555","0.548","0.569","0.553","0.552","0.556","0.484","0.579"
"gof","AIC","","10771377.3","10770935.0","10770688.4","10770807.3","10771355.9","10771367.1","10840279.7","10685705.1","7474744.9","7474347.6","7473673.2","7474395.8","7473732.4","7474688.9","7492892.5","7428096.7"
"gof","BIC","","10771492.4","10771075.7","10770829.1","10770973.5","10771496.6","10771533.3","10840599.4","10686024.8","7474856.8","7474484.4","7473809.9","7474557.3","7473869.1","7474850.5","7493203.2","7428407.4"
"gof","ICC","","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.5","0.6","0.6","0.5","0.6","0.5","0.6"
"gof","RMSE","","1.74","1.74","1.74","1.74","1.74","1.74","1.85","1.69","1.68","1.68","1.69","1.68","1.68","1.68","1.81","1.64"
