com_name,N,continent,month
Malachite Kingfisher,4,Africa,apr23
Northern Gray-headed Sparrow,6,Africa,apr23
Common Waxbill,5,Africa,apr23
Laughing Dove,101,Africa,apr23
Yellow-billed Barbet,1,Africa,apr23
White-faced Whistling-Duck,2,Africa,apr23
Wattled Lapwing,33,Africa,apr23
Cape Crow,1,Africa,apr23
African Pied Wagtail,1,Africa,apr23
Black-fronted Bulbul,1,Africa,apr23
Swainson's Francolin,1,Africa,apr23
Hamerkop,4,Africa,apr23
Black-winged Stilt,1,Africa,apr23
Long-crested Eagle,1,Africa,apr23
Brown-hooded Kingfisher,3,Africa,apr23
Squacco Heron,2,Africa,apr23
Village Weaver,3,Africa,apr23
Delegorgue's Pigeon,2,Africa,apr23
African Hoopoe,5,Africa,apr23
Bearded Woodpecker,2,Africa,apr23
White-headed Woodhoopoe,1,Africa,apr23
Red-billed Oxpecker,1,Africa,apr23
Rufous-chested Swallow,2,Africa,apr23
Mariqua Sunbird,3,Africa,apr23
Yellow-billed Kite,5,Africa,apr23
Fiery-necked Nightjar,2,Africa,apr23
Tropical Boubou,1,Africa,apr23
White-breasted Sunbird,2,Africa,apr23
Chestnut-throated Apalis,1,Africa,apr23
African Pygmy-Kingfisher,5,Africa,apr23
Black-headed Weaver,1,Africa,apr23
Yellow-throated Bush Sparrow,5,Africa,apr23
Blacksmith Lapwing,2,Africa,apr23
Natal Francolin,2,Africa,apr23
Grey-backed Camaroptera,2,Africa,apr23
Southern Ground-Hornbill,1,Africa,apr23
Cape Wagtail,2,Africa,apr23
Coqui Francolin,1,Africa,apr23
Southern Cordonbleu,1,Africa,apr23
Arrow-marked Babbler,3,Africa,apr23
Kurrichane Thrush,1,Africa,apr23
Magpie Shrike,1,Africa,apr23
Black Cuckoo,2,Africa,apr23
Ring-necked Dove,9,Africa,apr23
Verreaux's Eagle-Owl,1,Africa,apr23
Yellow-streaked Greenbul,1,Africa,apr23
Small Buttonquail,100,Africa,may23
Hadada Ibis,1115,Africa,may23
Southern Gray-headed Sparrow,204,Africa,may23
Laughing Dove,9,Africa,may23
Rose-ringed Parakeet,310,Africa,may23
Cape Robin-Chat,890,Africa,may23
Crowned Lapwing,174,Africa,may23
Spotted Eagle-Owl,55,Africa,may23
Black-collared Barbet,5,Africa,may23
Bronze Mannikin,2,Africa,may23
Cape Sparrow,143,Africa,may23
Gabar Goshawk,1,Africa,may23
African Pygmy-Kingfisher,5,Africa,may23
African Gray Hornbill,50,Africa,may23
African Hoopoe,3,Africa,may23
Namaqua Dove,20,Africa,may23
Greater Striped Swallow,1,Africa,may23
Little Swift,7,Africa,may23
Speckled Pigeon,74,Africa,may23
Southern Masked-Weaver,179,Africa,may23
Red-eyed Dove,150,Africa,may23
Barn Owl,1,Africa,may23
Gray Go-away-bird,40,Africa,may23
Cape Crow,7,Africa,may23
Red-winged Starling,1,Africa,may23
Red-faced Mousebird,11,Africa,may23
Yellow-throated Bush Sparrow,6,Africa,may23
White-breasted Sunbird,9,Africa,may23
Peregrine Falcon,3,Africa,may23
Pied Crow,17,Africa,may23
Green Woodhoopoe,8,Africa,may23
Cape Crombec,1,Africa,may23
Helmeted Guineafowl,5,Africa,may23
Arrow-marked Babbler,2,Africa,may23
Rock Pigeon,2,Africa,may23
White-necked Raven,2,Africa,may23
Burchell's Starling,3,Africa,may23
Rameron Pigeon,4,Africa,may23
Spotted Thick-knee,19,Africa,may23
Orange River Francolin,2,Africa,may23
Cape White-eye,16,Africa,may23
Wattled Lapwing,2,Africa,may23
Black Cuckoo,1,Africa,may23
South African Shelduck,1,Africa,may23
Narina Trogon,1,Africa,may23
Egyptian Goose,2,Africa,may23
Cardinal Woodpecker,2,Africa,may23
Speckled Mousebird,1,Africa,may23
Streaky-headed Seedeater,1,Africa,may23
Cape Wagtail,1,Africa,may23
Trumpeter Hornbill,1,Africa,may23
Natal Francolin,6,Africa,may23
Crested Barbet,3,Africa,may23
Southern Cordonbleu,1,Africa,may23
Ring-necked Dove,7,Africa,may23
Common Scimitarbill,1,Africa,may23
Cape Crow,12,Africa,jun23
Cape Robin-Chat,2968,Africa,jun23
Hadada Ibis,3313,Africa,jun23
Southern Masked-Weaver,1727,Africa,jun23
Rose-ringed Parakeet,1332,Africa,jun23
Southern Gray-headed Sparrow,141,Africa,jun23
Cape Sparrow,61,Africa,jun23
Crested Barbet,585,Africa,jun23
Southern Boubou,13,Africa,jun23
Cape White-eye,100,Africa,jun23
Gray Go-away-bird,770,Africa,jun23
Red-eyed Dove,1312,Africa,jun23
Red-faced Mousebird,39,Africa,jun23
African Gray Hornbill,22,Africa,jun23
White-breasted Sunbird,154,Africa,jun23
Yellow-fronted Canary,22,Africa,jun23
Speckled Pigeon,479,Africa,jun23
Crowned Lapwing,132,Africa,jun23
Small Buttonquail,176,Africa,jun23
Spotted Eagle-Owl,63,Africa,jun23
African Hoopoe,12,Africa,jun23
Pied Crow,40,Africa,jun23
Black-collared Barbet,79,Africa,jun23
Gray-headed Bushshrike,27,Africa,jun23
Spotted Thick-knee,119,Africa,jun23
Burchell's Starling,2,Africa,jun23
Pied Barbet,1,Africa,jun23
Red-winged Starling,2,Africa,jun23
Southern Ground-Hornbill,1,Africa,jun23
Delegorgue's Pigeon,2,Africa,jun23
Helmeted Guineafowl,107,Africa,jun23
Black-backed Puffback,21,Africa,jun23
Ring-necked Dove,5,Africa,jun23
Namaqua Dove,32,Africa,jun23
Laughing Dove,196,Africa,jun23
Natal Francolin,1,Africa,jun23
Streaky-headed Seedeater,1,Africa,jun23
White-necked Raven,4,Africa,jun23
Green Woodhoopoe,35,Africa,jun23
Cape Crombec,3,Africa,jun23
Speckled Mousebird,41,Africa,jun23
Long-billed Pipit,1,Africa,jun23
Rameron Pigeon,4,Africa,jun23
African Dusky Flycatcher,1,Africa,jun23
African Fish-Eagle,3,Africa,jun23
Egyptian Goose,9,Africa,jun23
Little Swift,1,Africa,jun23
Red-chested Flufftail,2,Africa,jun23
Cape Starling,2,Africa,jun23
Northern Black-Flycatcher,1,Africa,jun23
White-eyed Slaty-Flycatcher,1,Africa,jun23
Village Weaver,17,Africa,jun23
Fork-tailed Drongo,18,Africa,jun23
Nubian Woodpecker,4,Africa,jun23
Northern Puffback,16,Africa,jun23
Red-cheeked Cordonbleu,25,Africa,jun23
Bronze Mannikin,4,Africa,jun23
Klaas's Cuckoo,165,Africa,jun23
Lesser Blue-eared Starling,13,Africa,jun23
Common Bulbul,12,Africa,jun23
Great White Pelican,42,Africa,jun23
African Paradise-Flycatcher,17,Africa,jun23
Verreaux's Eagle-Owl,7,Africa,jun23
African Wood-Owl,66,Africa,jun23
White-rumped Swift,1,Africa,jun23
African Thrush,218,Africa,jun23
Yellow-rumped Tinkerbird,3,Africa,jun23
Arrow-marked Babbler,2,Africa,jun23
Gray Tit-Flycatcher,47,Africa,jun23
Rüppell's Starling,9,Africa,jun23
African Pygmy-Kingfisher,14,Africa,jun23
Fan-tailed Raven,24,Africa,jun23
Yellow-fronted Tinkerbird,483,Africa,jun23
Northern Gray-headed Sparrow,16,Africa,jun23
African Scops-Owl,9,Africa,jun23
African Black-headed Oriole,4,Africa,jun23
Brown Babbler,1,Africa,jun23
Wattled Starling,1,Africa,jun23
White-browed Robin-Chat,15,Africa,jun23
Wattled Lapwing,4,Africa,jun23
Tawny-flanked Prinia,2,Africa,jun23
Northern Yellow White-eye,3,Africa,jun23
Superb Starling,4,Africa,jun23
Fire-crested Alethe,9,Africa,jun23
Levaillant's Cuckoo,2,Africa,jun23
African Palm-Swift,1,Africa,jun23
White-bellied Go-away-bird,1,Africa,jun23
Southern Black-Tit,2,Africa,jun23
Striped Kingfisher,16,Africa,jun23
Lilac-breasted Roller,1,Africa,jun23
South African Shelduck,7,Africa,jun23
Squacco Heron,2,Africa,jun23
Red-fronted Tinkerbird,3,Africa,jun23
Ethiopian Boubou,2,Africa,jun23
Rock Pigeon,1,Africa,jun23
Blue-spotted Wood-Dove,2,Africa,jun23
Little Weaver,18,Africa,jun23
Splendid Starling,3,Africa,jun23
Long-crested Eagle,1,Africa,jun23
Black Goshawk,1,Africa,jun23
African Pied Wagtail,3,Africa,jun23
Pygmy Sunbird,1,Africa,jun23
Blacksmith Lapwing,1,Africa,jun23
Fiery-necked Nightjar,1,Africa,jun23
Trumpeter Hornbill,4,Africa,jun23
Blue Crane,1,Africa,jun23
Beautiful Sunbird,4,Africa,jun23
Chestnut-crowned Sparrow-Weaver,2,Africa,jun23
Yellow-billed Oxpecker,1,Africa,jun23
Tropical Boubou,3,Africa,jun23
Malachite Kingfisher,1,Africa,jun23
Yellow-throated Bush Sparrow,1,Africa,jun23
Emerald-spotted Wood-Dove,1,Africa,jun23
Black Cuckoo,1,Africa,jun23
Coqui Francolin,1,Africa,jun23
Black-fronted Bulbul,2,Africa,jun23
Fiscal Flycatcher,5,Africa,jun23
Greater Striped Swallow,1,Africa,jun23
Cardinal Woodpecker,1,Africa,jun23
Common Scimitarbill,1,Africa,jun23
Southern Fiscal,1,Africa,jun23
Hamerkop,3,Africa,jun23
Collared Sunbird,1,Africa,jun23
Brown-hooded Kingfisher,1,Africa,jun23
Violet-backed Starling,1,Africa,jun23
Common Myna,1,Africa,jun23
Blue-naped Mousebird,1,Africa,jun23
Cape Crow,4,Africa,jul23
Small Buttonquail,95,Africa,jul23
African Pygmy-Kingfisher,34,Africa,jul23
White-browed Robin-Chat,3034,Africa,jul23
Cape Robin-Chat,5926,Africa,jul23
Hadada Ibis,3082,Africa,jul23
Gray Go-away-bird,2100,Africa,jul23
Southern Masked-Weaver,2572,Africa,jul23
Southern Gray-headed Sparrow,201,Africa,jul23
Great White Pelican,43,Africa,jul23
Rose-ringed Parakeet,827,Africa,jul23
Cape Sparrow,88,Africa,jul23
Red-eyed Dove,594,Africa,jul23
Speckled Pigeon,48,Africa,jul23
Brown-hooded Kingfisher,9,Africa,jul23
Crowned Lapwing,91,Africa,jul23
Spotted Eagle-Owl,62,Africa,jul23
African Thrush,637,Africa,jul23
Cape White-eye,70,Africa,jul23
Yellow-fronted Tinkerbird,1540,Africa,jul23
Klaas's Cuckoo,464,Africa,jul23
Fan-tailed Raven,824,Africa,jul23
Common Waxbill,2,Africa,jul23
Red-cheeked Cordonbleu,39,Africa,jul23
Laughing Dove,142,Africa,jul23
Pied Crow,68,Africa,jul23
White-necked Raven,4,Africa,jul23
Green Woodhoopoe,57,Africa,jul23
Little Weaver,23,Africa,jul23
African Paradise-Flycatcher,62,Africa,jul23
Ethiopian Boubou,1,Africa,jul23
Chestnut-crowned Sparrow-Weaver,9,Africa,jul23
Blue-spotted Wood-Dove,1,Africa,jul23
African Gray Hornbill,37,Africa,jul23
Red-faced Mousebird,129,Africa,jul23
Red-winged Starling,2,Africa,jul23
Pin-tailed Whydah,68,Africa,jul23
Speckled Mousebird,133,Africa,jul23
Nubian Woodpecker,20,Africa,jul23
Village Weaver,132,Africa,jul23
Crested Barbet,311,Africa,jul23
Black-collared Barbet,43,Africa,jul23
White-breasted Sunbird,88,Africa,jul23
Red-faced Cisticola,1,Africa,jul23
Helmeted Guineafowl,80,Africa,jul23
Namaqua Dove,12,Africa,jul23
Spotted Thick-knee,146,Africa,jul23
Southern Black-Tit,1,Africa,jul23
South African Shelduck,4,Africa,jul23
African Hoopoe,15,Africa,jul23
African Green-Pigeon,3,Africa,jul23
African Wood-Owl,486,Africa,jul23
Lesser Honeyguide,2,Africa,jul23
Common Bulbul,3,Africa,jul23
Lesser Blue-eared Starling,10,Africa,jul23
Northern Fiscal,11,Africa,jul23
Cardinal Woodpecker,4,Africa,jul23
Rüppell's Starling,11,Africa,jul23
Striped Kingfisher,46,Africa,jul23
Fairy Flycatcher,1,Africa,jul23
Verreaux's Eagle-Owl,627,Africa,jul23
Egyptian Goose,81,Africa,jul23
Bronze Mannikin,27,Africa,jul23
Splendid Starling,3,Africa,jul23
Western Black-headed Batis,4,Africa,jul23
Squacco Heron,5,Africa,jul23
Cinnamon-chested Bee-eater,1,Africa,jul23
Wattled Lapwing,1,Africa,jul23
Gray-headed Kingfisher,3,Africa,jul23
Burchell's Starling,2,Africa,jul23
Malachite Sunbird,3,Africa,jul23
Peregrine Falcon,4,Africa,jul23
African Scops-Owl,81,Africa,jul23
Crested Guineafowl,1,Africa,jul23
Barn Swallow,2,Africa,jul23
Northern Yellow White-eye,11,Africa,jul23
African Black-headed Oriole,1,Africa,jul23
Amethyst Sunbird,3,Africa,jul23
Fire-crested Alethe,1,Africa,jul23
Delegorgue's Pigeon,1,Africa,jul23
Northern Black-Flycatcher,1,Africa,jul23
Red-backed Scrub-Robin,1,Africa,jul23
Black Goshawk,1,Africa,jul23
Trumpeter Hornbill,2,Africa,jul23
African Pied Wagtail,2,Africa,jul23
Northern Red Bishop,1,Africa,jul23
Greater Striped Swallow,1,Africa,jul23
Tropical Boubou,2,Africa,jul23
Natal Francolin,3,Africa,jul23
Red-fronted Tinkerbird,1,Africa,jul23
Senegal Coucal,2,Africa,jul23
Grey-backed Camaroptera,1,Africa,jul23
Northern Puffback,20,Africa,jul23
Rameron Pigeon,2,Africa,jul23
Malachite Kingfisher,1,Africa,jul23
Greater Honeyguide,1,Africa,jul23
Yellow-spotted Bush Sparrow,1,Africa,jul23
Streaky-headed Seedeater,1,Africa,jul23
Gabar Goshawk,1,Africa,jul23
Yellow-throated Bush Sparrow,10,Africa,jul23
Green-backed Camaroptera,1,Africa,jul23
Dark-capped Bulbul,1,Africa,jul23
Blacksmith Lapwing,1,Africa,jul23
Black-backed Puffback,8,Africa,jul23
Fiscal Flycatcher,8,Africa,jul23
Chestnut-throated Apalis,4,Africa,jul23
Dideric Cuckoo,2,Africa,jul23
White-rumped Swift,4,Africa,jul23
Baglafecht Weaver,1,Africa,jul23
Tawny-flanked Prinia,5,Africa,jul23
Stone Partridge,1,Africa,jul23
Vinaceous Dove,8,Africa,jul23
Rufous Chatterer,2,Africa,jul23
African Golden Oriole,1,Africa,jul23
Southern Ground-Hornbill,1,Africa,jul23
Ring-necked Dove,4,Africa,jul23
Great Blue Turaco,1,Africa,jul23
Black-necked Weaver,1,Africa,jul23
Scarlet-chested Sunbird,1,Africa,jul23
African Palm-Swift,2,Africa,jul23
Cape Rock-Thrush,1,Africa,jul23
Freckled Nightjar,52,Africa,jul23
Yellow-rumped Tinkerbird,1,Africa,jul23
Hamerkop,1,Africa,jul23
Winding Cisticola,2,Africa,jul23
Levaillant's Cuckoo,1,Africa,jul23
Yellow-billed Oxpecker,2,Africa,jul23
Beautiful Sunbird,1,Africa,jul23
Green Sandpiper,1,Africa,jul23
Eurasian Hoopoe,1,Africa,jul23
Common House-Martin,1,Africa,jul23
African Thrush,49,Africa,aug23
Fan-tailed Raven,149,Africa,aug23
Cape Robin-Chat,15464,Africa,aug23
Hadada Ibis,4312,Africa,aug23
Egyptian Goose,38,Africa,aug23
Red-eyed Dove,699,Africa,aug23
Bronze Mannikin,1247,Africa,aug23
Southern Masked-Weaver,5780,Africa,aug23
Gray Go-away-bird,1964,Africa,aug23
Yellow-fronted Tinkerbird,27,Africa,aug23
African Pygmy-Kingfisher,19,Africa,aug23
Cardinal Woodpecker,14,Africa,aug23
Crested Barbet,1204,Africa,aug23
Rose-ringed Parakeet,585,Africa,aug23
Striped Kingfisher,2,Africa,aug23
Ring-necked Dove,11,Africa,aug23
Red-cheeked Cordonbleu,4,Africa,aug23
Klaas's Cuckoo,3,Africa,aug23
Cape White-eye,20,Africa,aug23
Lesser Blue-eared Starling,1,Africa,aug23
Speckled Mousebird,96,Africa,aug23
Laughing Dove,276,Africa,aug23
Pin-tailed Whydah,1,Africa,aug23
Verreaux's Eagle-Owl,31,Africa,aug23
African Wood-Owl,57,Africa,aug23
Great Blue Turaco,1,Africa,aug23
Spotted Thick-knee,255,Africa,aug23
Green Woodhoopoe,17,Africa,aug23
Crowned Lapwing,14,Africa,aug23
Gray-headed Bushshrike,5,Africa,aug23
Black Cuckoo,3,Africa,aug23
Red-faced Mousebird,159,Africa,aug23
Black Goshawk,17,Africa,aug23
African Hoopoe,23,Africa,aug23
Little Bittern,1,Africa,aug23
Common Greenshank,6,Africa,aug23
Barn Owl,22,Africa,aug23
Southern Gray-headed Sparrow,62,Africa,aug23
Black-collared Barbet,22,Africa,aug23
Tawny-flanked Prinia,10,Africa,aug23
Cape Sparrow,2,Africa,aug23
Eurasian Hoopoe,15,Africa,aug23
Pied Crow,1,Africa,aug23
Speckled Pigeon,41,Africa,aug23
Black-backed Puffback,3,Africa,aug23
Southern Boubou,22,Africa,aug23
Barn Swallow,4,Africa,aug23
Helmeted Guineafowl,131,Africa,aug23
Brown-hooded Kingfisher,24,Africa,aug23
Common Myna,28,Africa,aug23
White-breasted Sunbird,19,Africa,aug23
Small Buttonquail,1,Africa,aug23
Common Waxbill,9,Africa,aug23
Common House-Martin,75,Africa,aug23
Greater Honeyguide,1,Africa,aug23
Wood Sandpiper,1,Africa,aug23
Village Weaver,14,Africa,aug23
Abyssinian Nightjar,1,Africa,aug23
Namaqua Dove,4,Africa,aug23
Eurasian Moorhen,11,Africa,aug23
Northern Yellow White-eye,1,Africa,aug23
Tree Pipit,5,Africa,aug23
Red-chested Flufftail,1,Africa,aug23
Common Quail,1,Africa,aug23
Gray Heron,5,Africa,aug23
Common Bulbul,3,Africa,aug23
Wattled Lapwing,3,Africa,aug23
Shelley's Francolin,1,Africa,aug23
Black-fronted Bulbul,1,Africa,aug23
