station_locs,avg_rad,lat,lon
1,21.8899993896484,-25.768,28.2704
2,57.8499984741211,-26.1244,28.0344
3,0.340000003576279,6.2733,34.3858
4,14.4300003051758,-25.76,28.27
5,0.379999995231628,-22.5549,28.5901
6,0.129999995231628,-22.555,28.9501
7,18.5100002288818,14.4005,121.0131
8,3.79999995231628,13.9279,100.1443
9,36.6199989318848,13.6639,100.6051
10,41.0800018310547,22.5559,114.0577
11,39.4199981689453,50.034,19.9294
12,39.4199981689453,50.034,19.9295
13,39.4199981689453,50.034,19.9296
14,39.4199981689453,50.034,19.9299
15,39.4199981689453,50.034,19.9297
16,0.5,48.9057,3.1593
17,3.38000011444092,39.1946,-1.38
18,0.72000002861023,39.1578,-1.5808
19,7.76999998092651,47.482,8.7699
20,1.47000002861023,54.5807,-1.7997
21,0.430000007152557,57.1589,-2.5571
22,8.18000030517578,51.3792,-0.3918
23,3.99000000953674,50.6111,6.655
24,14.9200000762939,51.6088,0.0084
25,4.84999990463257,53.4979,-0.318
26,0.550000011920929,53.1144,-3.3758
27,0.980000019073486,53.2371,-1.7906
28,2.4300000667572,48.153,-1.8227
29,13.3699998855591,35.5066,23.9684
30,0.800000011920929,46.0626,3.5122
31,1.04999995231628,51.8574,4.8501
32,14.2299995422363,48.8461,2.1888
33,5.48999977111816,48.4825,9.246
34,8.86999988555908,50.886,8.1396
35,2.33999991416931,51.2454,7.024
36,0,47.5765,12.1687
37,10.3400001525879,55.6077,-2.7951
38,12.2700004577637,51.0914,6.5716
39,1.54999995231628,52.1889,9.4681
40,16.25,48.5249,11.5024
41,2.86999988555908,52.3339,20.8627
42,1.07000005245209,52.5443,6.1101
43,13.6300001144409,50.156,8.753
44,2.35999989509583,51.6997,-2.3568
45,0.800000011920929,46.0627,3.5121
46,5.98000001907349,57.0156,14.898
47,3.22000002861023,56.2,-3.13
48,100.910003662109,59.9087,10.8364
49,15.1700000762939,53.6943,-2.6888
50,19.0200004577637,52.287,8.0431
51,2.5,53.6396,10.2162
52,0.699999988079071,50.8755,7.3726
53,3.58999991416931,56.1554,9.5012
54,9.92000007629395,52.0978,-0.2478
55,3.82999992370605,53.4851,-1.6106
56,6.86999988555908,53.6384,-1.7236
57,20.0499992370606,53.2258,6.5342
58,15.7200002670288,47.7941,16.2274
59,2.38000011444092,53.0802,7.4015
60,11.210000038147,51.6477,-3.9505
61,0.639999985694885,51.9305,-2.4603
62,6.40999984741211,51.2323,7.6417
63,20.7399997711182,56.4685,-3
64,5.09999990463257,52.0656,1.161
65,4.88000011444092,54.0759,-2.8333
66,1.6599999666214,52.9297,-0.4128
67,55.8600006103516,48.3877,-4.4839
68,3.02999997138977,51.5404,-0.67
69,39.0099983215332,50.0688,19.9669
70,4.61999988555908,53.6754,10.2194
71,5.23999977111816,52.9456,5.9268
72,19.4200000762939,52.1475,6.1967
73,3.92000007629395,52.1342,8.6993
74,19.0400009155273,51.5963,-0.1471
75,40.7400016784668,46.1833,21.3167
76,3.84999990463257,51.5249,3.9005
77,1.33000004291534,54.3211,-1.4875
78,0.730000019073486,53.7623,10.4711
79,20.6800003051758,51.3717,12.4055
80,5.30000019073486,47.924,21.75
81,0.569999992847443,52.34,6.24
82,1.76999998092651,57.249,10.285
83,25.8400001525879,51.8564,4.4245
84,19.8799991607666,51.9319,4.5418
85,1.25,50.6709,4.5511
86,11.3199996948242,55.9735,-4.2003
87,0.400000005960465,47.7997,2.422
88,6.69000005722046,45.229,25.937
89,4.76000022888184,51.5062,-2.6292
90,31.6299991607666,47.2596,11.4003
91,3.80999994277954,50.7199,-2.0839
92,2.16000008583069,49.1797,8.6426
93,32.0099983215332,59.8236,10.332
94,2.23000001907349,50.6409,4.555
95,17.2000007629395,52.5003,4.683
96,8.73999977111816,58.0294,12.7838
97,15.1999998092651,52.4153,13.2749
98,17.0900001525879,55.941,-3.096
99,5.30000019073486,50.7346,-1.7356
100,33.310001373291,52.0124,4.3743
101,8.71000003814697,59.4723,17.7934
102,2.82999992370605,53.7784,-1.2542
103,4.17000007629395,52.6443,29.727
104,1.14999997615814,59.0443,24.2648
105,13.1400003433228,52.282,4.588
106,0.889999985694885,52.6043,1.4177
107,16.0200004577637,52.0794,21.1024
108,1.54999995231628,50.8848,0.009
109,5.71000003814697,53.6134,-1.8099
110,12.8699998855591,51.6556,-0.4191
111,58.2200012207031,48.7684,2.487
112,17.4799995422363,48.069,-0.7745
113,20.9400005340576,52.4409,-1.8587
114,43.810001373291,52.1086,4.2786
115,3.27999997138977,48.1465,16.6892
116,17.3199996948242,48.1334,16.2769
117,2.20000004768372,47.4838,7.5575
118,23.0400009155273,46.3594,6.1357
119,2.90000009536743,50.7498,12.1768
120,7.90999984741211,51.0345,13.686
121,0.600000023841858,45.4181,5.3502
122,13.5699996948242,50.7268,7.1362
123,5.92999982833862,45.5558,6.7395
124,10.5,49.9985,8.2041
125,2.35999989509583,49.6453,15.9662
126,0.629999995231628,43.6422,1.1508
127,2.5699999332428,48.5878,1.8093
128,0.509999990463257,47.2664,4.773
129,5.92999982833862,51.5773,5.3606
130,1.50999999046326,51.9181,8.5776
131,21.4500007629395,51.1066,17.1267
132,9.63000011444092,51.3198,-0.5792
133,3.4300000667572,63.4288,14.7461
134,0.800000011920929,52.6712,17.0626
135,23.3999996185303,60.3708,25.2784
136,86.9800033569336,59.9431,11.0096
137,0.779999971389771,60.67,6.76
138,74.7600021362305,44.4198,26.1155
139,0.550000011920929,45.173,5.3546
140,0.379999995231628,56.6903,-5.9017
141,3.76999998092651,55.956,-4.1597
142,3.76999998092651,55.956,-4.1599
143,3.76999998092651,55.9558,-4.1593
144,17.0900001525879,55.941,-3.0958
145,3.76999998092651,55.956,-4.1598
146,3.76999998092651,55.9559,-4.1595
147,3.76999998092651,55.9559,-4.1596
148,8.77000045776367,55.9138,-3.1717
149,3.9300000667572,50.6207,-3.3946
150,3.76999998092651,55.9558,-4.1595
151,4.34000015258789,52.038,8.4791
152,3.76999998092651,55.9559,-4.1594
153,3.76999998092651,55.9558,-4.1594
154,11.9700002670288,54.1475,-4.4825
155,3.76999998092651,55.956,-4.1596
156,3.76999998092651,55.9561,-4.1597
157,3.76999998092651,55.9561,-4.1599
158,3.76999998092651,55.9559,-4.1597
159,3.76999998092651,55.9561,-4.1598
160,3.76999998092651,55.9559,-4.1593
161,3.76999998092651,55.956,-4.1595
162,4.3899998664856,47.9689,12.6074
163,0.490000009536743,60.0962,14.6658
164,0.680000007152557,51.5587,-2.3375
165,8.72000026702881,52.4404,4.8757
166,3.76999998092651,55.956,-4.1594
167,78.7699966430664,42.2655,2.9581
168,2.89000010490418,45.8579,3.5452
169,9.98999977111816,50.266,-5.0527
170,4.75,52.3711,7.719
171,0.509999990463257,49.7368,19.2079
172,65.4199981689453,49.1951,16.6068
173,20.8199996948242,59.5209,10.6973
174,2.05999994277954,63.3038,10.3327
175,11.4300003051758,50.9631,6.9097
176,0.389999985694885,50.978,-0.3544
177,1.37000000476837,51.6767,-1.4389
178,37.1800003051758,53.5305,-2.7543
179,48.4099998474121,51.5013,-0.0393
180,54.3600006103516,51.4741,-0.093
181,101.809997558594,40.4168,-3.7038
182,0.75,43.1296,12.0947
183,254.770004272461,59.9311,30.3609
184,9.35999965667725,51.7612,-1.2465
185,32.8899993896484,54.2831,-0.3998
186,4.76000022888184,60.2927,24.5565
187,46.0299987792969,53.3811,-1.4701
188,22.4300003051758,59.4682,18.097
189,1.33000004291534,51.5303,5.7002
190,4.26000022888184,51.4251,12.5734
191,2.34999990463257,47.5442,8.9212
192,5.92000007629395,53.1572,8.927
193,1.95000004768372,49.3568,14.0931
194,0,47.2552,11.3707
195,36.25,51.562,-0.0736
196,0.400000005960465,47.3151,10.8886
197,5.09000015258789,61.4286,10.2151
198,15.5600004196167,53.2096,5.8198
199,13.8599996566772,52.4926,13.4392
200,13.7299995422363,51.1691,4.4662
201,3.94000005722046,47.9246,21.74
202,3.1800000667572,50.5088,4.3956
203,2.29999995231628,51.7773,14.3867
204,99.7600021362305,51.2205,4.3993
205,7.51999998092651,51.5027,-2.5245
206,4.48999977111816,47.518,8.242
207,18.4899997711182,53.594,10.1008
208,0,48.1267,12.236
209,0.8299999833107,49.9212,6.0534
210,5.92000007629395,53.1571,8.927
211,5.23999977111816,47.6558,8.858
212,2.66000008583069,50.5572,3.2381
213,0.889999985694885,46.5412,11.617
214,18.0100002288818,46.618,7.0572
215,1.0900000333786,50.9954,14.312
216,11.960000038147,43.2333,6.0667
217,6.05999994277954,50.8498,0.4705
218,19.0300006866455,53.7884,-2.2964
219,4.55000019073486,35.18,26.09
