sci_name,sci_name_syn
Carterornis leucotis,Monarcha leucotis
Systellura longirostris,Caprimulgus longirostris
Ortalis squamata,Ortalida squamata
Ortalis squamata,Ortalis guttata
Setophaga pitiayumi,Parula pitiayumi
Myiothlypis leucoblephara,Basileuterus leucoblepharus
Dryobates spilogaster,Picus spilogaster
Dryobates spilogaster,Dryobates spilogaster
Psittacara leucophthalmus,Aratinga leucopthalmus
Psittacara leucophthalmus,Aratinga leucophthalmus
Psittacara leucophthalmus,Aratinga leucophthalma
Psittacara leucophthalmus,Psittacus leucophthalmus
Asemospiza fuliginosa,Tiaris fuliginosa
Asemospiza fuliginosa,Tiaris fuliginosus
Asemospiza fuliginosa,Fringilla fuliginosa
Eupsittula cactorum,Aratinga cactorum
Eupsittula cactorum,Psittacus cactorum
