id,lat,lon,date
8253,5.3089,31.8256,2023-04-03
8254,5.3089,31.8256,2023-04-04
8255,5.3089,31.8256,2023-04-06
8256,5.3089,31.8256,2023-04-07
8257,5.3089,31.8256,2023-04-08
8258,5.3089,31.8256,2023-04-09
8259,5.3089,31.8256,2023-04-10
8260,5.3089,31.8256,2023-04-11
8261,5.3089,31.8256,2023-04-15
6832,-25.768,28.2704,2023-04-04
6836,-25.768,28.2704,2023-04-11
6834,-25.768,28.2704,2023-04-08
8251,5.3089,31.8256,2023-04-01
8252,5.3089,31.8256,2023-04-02
6833,-25.768,28.2704,2023-04-05
6835,-25.768,28.2704,2023-04-09
6837,-25.768,28.2704,2023-04-15
6838,-25.768,28.2704,2023-04-19
6839,-25.768,28.2704,2023-04-21
6840,-25.768,28.2704,2023-04-29
8292,6.2733,34.3858,2023-08-01
8293,6.2733,34.3858,2023-08-02
6891,-25.768,28.2704,2023-08-08
6892,-25.768,28.2704,2023-08-12
6893,-25.768,28.2704,2023-08-14
6894,-25.768,28.2704,2023-08-15
6895,-25.768,28.2704,2023-08-16
6896,-25.768,28.2704,2023-08-17
6897,-25.768,28.2704,2023-08-18
8342,6.2733,34.3858,2023-12-07
8343,6.2733,34.3858,2023-12-09
8344,6.2733,34.3858,2023-12-19
8345,6.2733,34.3858,2023-12-21
8348,6.2733,34.3858,2023-12-24
8351,6.2733,34.3858,2023-12-29
8338,6.2733,34.3858,2023-12-02
8341,6.2733,34.3858,2023-12-06
8137,-1.9449,30.0623,2023-12-01
8138,-1.9449,30.0623,2023-12-02
8139,-1.9449,30.0623,2023-12-03
8140,-1.9449,30.0623,2023-12-05
8141,-1.9449,30.0623,2023-12-09
8142,-1.9449,30.0623,2023-12-13
8143,-1.9449,30.0623,2023-12-14
8144,-1.9449,30.0623,2023-12-15
8145,-1.9449,30.0623,2023-12-16
8146,-1.9449,30.0623,2023-12-19
8147,-1.9449,30.0623,2023-12-20
8148,-1.9449,30.0623,2023-12-21
6922,-25.76,28.27,2023-12-07
8349,6.2733,34.3858,2023-12-25
8350,6.2733,34.3858,2023-12-27
8337,6.2733,34.3858,2023-12-01
8339,6.2733,34.3858,2023-12-03
8340,6.2733,34.3858,2023-12-04
8346,6.2733,34.3858,2023-12-22
8347,6.2733,34.3858,2023-12-23
8353,6.2733,34.3858,2024-02-01
8355,6.2733,34.3858,2024-02-03
7751,-22.555,28.9501,2024-02-01
8158,-1.9449,30.0623,2024-02-07
7754,-22.555,28.9501,2024-02-16
6925,-25.76,28.27,2024-02-03
8157,-1.9449,30.0623,2024-02-04
6926,-25.76,28.27,2024-02-04
6927,-25.76,28.27,2024-02-07
8159,-1.9449,30.0623,2024-02-08
8160,-1.9449,30.0623,2024-02-10
8161,-1.9449,30.0623,2024-02-12
6928,-25.76,28.27,2024-02-13
7753,-22.555,28.9501,2024-02-14
8163,-1.9449,30.0623,2024-02-14
6929,-25.76,28.27,2024-02-14
8164,-1.9449,30.0623,2024-02-15
6930,-25.76,28.27,2024-02-15
6931,-25.76,28.27,2024-02-16
6932,-25.76,28.27,2024-02-17
6933,-25.76,28.27,2024-02-18
6934,-25.76,28.27,2024-02-19
6935,-25.76,28.27,2024-02-20
6936,-25.76,28.27,2024-02-21
8165,-1.9449,30.0623,2024-02-21
6937,-25.76,28.27,2024-02-22
8166,-1.9449,30.0623,2024-02-23
6938,-25.76,28.27,2024-02-24
8167,-1.9449,30.0623,2024-02-25
6939,-25.76,28.27,2024-02-25
8168,-1.9449,30.0623,2024-02-27
8169,-1.9449,30.0623,2024-02-29
6941,-25.76,28.27,2024-02-29
8400,7.9602,-76.152,2024-02-25
8162,-1.9449,30.0623,2024-02-13
6940,-25.76,28.27,2024-02-26
7755,-22.555,28.9501,2024-02-18
7756,-22.555,28.9501,2024-02-20
7757,-22.555,28.9501,2024-02-21
7760,-22.555,28.9501,2024-02-27
8354,6.2733,34.3858,2024-02-02
7752,-22.555,28.9501,2024-02-12
7758,-22.555,28.9501,2024-02-24
7759,-22.555,28.9501,2024-02-26
7761,-22.555,28.9501,2024-02-29
8149,-1.9449,30.0623,2024-01-01
8150,-1.9449,30.0623,2024-01-08
8151,-1.9449,30.0623,2024-01-10
8152,-1.9449,30.0623,2024-01-12
8153,-1.9449,30.0623,2024-01-14
6923,-25.76,28.27,2024-01-18
8154,-1.9449,30.0623,2024-01-19
8155,-1.9449,30.0623,2024-01-21
8156,-1.9449,30.0623,2024-01-25
6924,-25.76,28.27,2024-01-30
7784,-22.5549,28.5901,2024-01-19
7785,-22.5549,28.5901,2024-01-21
7786,-22.5549,28.5901,2024-01-23
7787,-22.5549,28.5901,2024-01-25
8352,6.2733,34.3858,2024-01-06
7774,-22.5549,28.5901,2024-01-03
7783,-22.5549,28.5901,2024-01-18
7775,-22.5549,28.5901,2024-01-05
7776,-22.5549,28.5901,2024-01-06
7777,-22.5549,28.5901,2024-01-07
7778,-22.5549,28.5901,2024-01-08
7779,-22.5549,28.5901,2024-01-12
7780,-22.5549,28.5901,2024-01-13
7781,-22.5549,28.5901,2024-01-14
7782,-22.5549,28.5901,2024-01-17
7750,-22.555,28.9501,2024-01-28
8275,6.2733,34.3858,2023-07-14
8276,6.2733,34.3858,2023-07-15
8278,6.2733,34.3858,2023-07-17
8279,6.2733,34.3858,2023-07-18
8286,6.2733,34.3858,2023-07-25
8287,6.2733,34.3858,2023-07-26
8288,6.2733,34.3858,2023-07-27
8291,6.2733,34.3858,2023-07-30
8269,6.2733,34.3858,2023-07-06
8270,6.2733,34.3858,2023-07-07
8271,6.2733,34.3858,2023-07-08
8272,6.2733,34.3858,2023-07-09
8273,6.2733,34.3858,2023-07-10
8274,6.2733,34.3858,2023-07-11
8277,6.2733,34.3858,2023-07-16
8280,6.2733,34.3858,2023-07-19
8281,6.2733,34.3858,2023-07-20
8282,6.2733,34.3858,2023-07-21
8283,6.2733,34.3858,2023-07-22
8284,6.2733,34.3858,2023-07-23
8285,6.2733,34.3858,2023-07-24
8289,6.2733,34.3858,2023-07-28
8290,6.2733,34.3858,2023-07-29
6879,-25.768,28.2704,2023-07-02
6880,-25.768,28.2704,2023-07-04
6881,-25.768,28.2704,2023-07-05
6882,-25.768,28.2704,2023-07-06
6883,-25.768,28.2704,2023-07-08
6884,-25.768,28.2704,2023-07-11
6885,-25.768,28.2704,2023-07-12
